instance_id,created_at,difficulty
sphinx-doc__sphinx-9258,2021-05-21T16:56:41Z,<15 min fix
sphinx-doc__sphinx-9281,2021-05-29T17:16:30Z,<15 min fix
sphinx-doc__sphinx-9320,2021-06-11T13:29:04Z,<15 min fix
sphinx-doc__sphinx-9367,2021-06-20T17:49:40Z,<15 min fix
sphinx-doc__sphinx-9461,2021-07-17T06:31:58Z,1-4 hours
sphinx-doc__sphinx-9591,2021-08-29T15:26:24Z,<15 min fix
sphinx-doc__sphinx-9602,2021-09-01T17:26:58Z,15 min - 1 hour
sphinx-doc__sphinx-9658,2021-09-20T17:04:23Z,15 min - 1 hour
sphinx-doc__sphinx-9673,2021-09-25T15:53:46Z,15 min - 1 hour
sphinx-doc__sphinx-9698,2021-10-03T04:04:04Z,<15 min fix
sphinx-doc__sphinx-9711,2021-10-06T15:08:03Z,<15 min fix
sympy__sympy-11618,2016-09-15T20:01:58Z,15 min - 1 hour
sympy__sympy-12096,2017-01-25T13:40:24Z,<15 min fix
sympy__sympy-12419,2017-03-25T15:02:26Z,15 min - 1 hour
sympy__sympy-12481,2017-04-03T01:52:33Z,<15 min fix
sympy__sympy-12489,2017-04-04T08:12:37Z,1-4 hours
sympy__sympy-13031,2017-07-23T15:48:13Z,15 min - 1 hour
sympy__sympy-13091,2017-08-05T08:04:32Z,15 min - 1 hour
sympy__sympy-13372,2017-09-30T16:05:48Z,<15 min fix
sympy__sympy-13480,2017-10-18T17:27:03Z,<15 min fix
sympy__sympy-13551,2017-10-29T20:51:01Z,15 min - 1 hour
sympy__sympy-13615,2017-11-17T08:59:51Z,15 min - 1 hour
sympy__sympy-13647,2017-11-28T21:22:51Z,15 min - 1 hour
sympy__sympy-13757,2017-12-17T11:08:44Z,15 min - 1 hour
sympy__sympy-13798,2017-12-26T18:12:43Z,15 min - 1 hour
sympy__sympy-13852,2018-01-06T23:54:51Z,1-4 hours
sympy__sympy-13877,2018-01-10T01:55:34Z,15 min - 1 hour
sympy__sympy-13878,2018-01-10T07:00:58Z,>4 hours
sympy__sympy-13974,2018-01-20T18:25:59Z,15 min - 1 hour
sympy__sympy-14248,2018-02-17T10:38:44Z,1-4 hours
sympy__sympy-14531,2018-03-18T18:15:33Z,15 min - 1 hour
sympy__sympy-14711,2018-05-12T17:00:20Z,<15 min fix
sympy__sympy-14976,2018-07-25T17:38:07Z,15 min - 1 hour
sympy__sympy-15017,2018-08-03T03:15:04Z,<15 min fix
sympy__sympy-15345,2018-10-05T06:00:31Z,<15 min fix
sympy__sympy-15349,2018-10-06T19:45:27Z,15 min - 1 hour
sympy__sympy-15599,2018-12-06T17:45:49Z,15 min - 1 hour
sympy__sympy-15809,2019-01-20T06:08:26Z,<15 min fix
sympy__sympy-15875,2019-01-29T03:18:51Z,<15 min fix
sympy__sympy-15976,2019-02-13T15:02:37Z,15 min - 1 hour
sympy__sympy-16450,2019-03-26T18:00:02Z,<15 min fix
sympy__sympy-16597,2019-04-08T12:49:10Z,1-4 hours
sympy__sympy-16766,2019-05-01T22:02:17Z,<15 min fix
sympy__sympy-16792,2019-05-09T03:40:54Z,15 min - 1 hour
sympy__sympy-16886,2019-05-25T05:55:25Z,<15 min fix
sympy__sympy-17139,2019-07-01T19:17:18Z,<15 min fix
sympy__sympy-17318,2019-08-01T11:55:36Z,15 min - 1 hour
sympy__sympy-17630,2019-09-18T22:56:31Z,1-4 hours
sympy__sympy-17655,2019-09-25T17:04:26Z,<15 min fix
sympy__sympy-18189,2019-12-31T15:45:24Z,<15 min fix
sympy__sympy-18199,2020-01-01T19:08:59Z,1-4 hours
sympy__sympy-18211,2020-01-03T06:39:19Z,15 min - 1 hour
sympy__sympy-18698,2020-02-21T05:46:56Z,15 min - 1 hour
sympy__sympy-18763,2020-03-03T03:40:06Z,<15 min fix
sympy__sympy-19040,2020-03-31T19:53:54Z,15 min - 1 hour
sympy__sympy-19346,2020-05-17T12:23:33Z,15 min - 1 hour
sympy__sympy-19495,2020-06-05T11:53:09Z,<15 min fix
sympy__sympy-19637,2020-06-24T13:08:57Z,<15 min fix
sympy__sympy-19783,2020-07-16T09:40:38Z,15 min - 1 hour
sympy__sympy-19954,2020-08-12T06:07:32Z,<15 min fix
sympy__sympy-20154,2020-09-26T22:49:04Z,15 min - 1 hour
sympy__sympy-20428,2020-11-14T05:56:31Z,15 min - 1 hour
sympy__sympy-20438,2020-11-17T08:24:33Z,15 min - 1 hour
sympy__sympy-20590,2020-12-12T18:18:38Z,15 min - 1 hour
sympy__sympy-20801,2021-01-15T02:01:23Z,15 min - 1 hour
sympy__sympy-20916,2021-02-06T05:44:34Z,<15 min fix
sympy__sympy-21379,2021-04-24T19:49:52Z,15 min - 1 hour
sympy__sympy-21596,2021-06-10T15:35:08Z,15 min - 1 hour
sympy__sympy-21612,2021-06-14T04:31:24Z,15 min - 1 hour
sympy__sympy-21847,2021-08-10T17:41:59Z,<15 min fix
sympy__sympy-21930,2021-08-22T20:29:08Z,15 min - 1 hour
sympy__sympy-22080,2021-09-12T07:11:33Z,15 min - 1 hour
sympy__sympy-22456,2021-11-10T12:24:42Z,15 min - 1 hour
sympy__sympy-22714,2021-12-19T18:54:36Z,<15 min fix
sympy__sympy-22914,2022-01-25T10:37:44Z,15 min - 1 hour
sympy__sympy-23262,2022-03-21T07:17:35Z,15 min - 1 hour
sympy__sympy-23413,2022-04-23T23:40:41Z,15 min - 1 hour
sympy__sympy-23534,2022-05-22T00:12:33Z,<15 min fix
sympy__sympy-23824,2022-07-23T22:13:36Z,15 min - 1 hour
sympy__sympy-23950,2022-08-20T18:21:10Z,15 min - 1 hour
sympy__sympy-24066,2022-09-16T22:58:15Z,15 min - 1 hour
sympy__sympy-24213,2022-11-03T14:00:09Z,15 min - 1 hour
sympy__sympy-24443,2022-12-30T14:43:19Z,15 min - 1 hour
sympy__sympy-24539,2023-01-17T17:26:42Z,<15 min fix
sympy__sympy-24562,2023-01-21T12:06:36Z,<15 min fix
sympy__sympy-24661,2023-02-05T19:15:22Z,15 min - 1 hour
