Challenge,Created_At,Difficulty,20250603_Refact_Agent_claude-4-sonnet,20250610_augment_agent_v1,20250611_moatless_claude-4-sonnet-20250514,20250612_trae,20250616_Skywork-SWE-32B,20250616_Skywork-SWE-32B+TTS_Bo8,20250623_warp,20250627_agentless_MCTS-Refine-7B,20250629_deepswerl_r2eagent,20250629_deepswerl_r2eagent_tts
sympy__sympy-21379,2021-04-24T19:49:52Z,15 min - 1 hour,1,0,1,0,0,1,1,0,0,1
sympy__sympy-21596,2021-06-10T15:35:08Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
sympy__sympy-21612,2021-06-14T04:31:24Z,15 min - 1 hour,0,0,0,0,0,0,0,1,0,0
sympy__sympy-21930,2021-08-22T20:29:08Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
sympy__sympy-22080,2021-09-12T07:11:33Z,15 min - 1 hour,0,0,0,0,0,0,0,0,0,0
sympy__sympy-22456,2021-11-10T12:24:42Z,15 min - 1 hour,1,1,1,1,0,1,1,0,1,1
sympy__sympy-22914,2022-01-25T10:37:44Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
sympy__sympy-23262,2022-03-21T07:17:35Z,15 min - 1 hour,1,1,1,1,0,0,1,0,0,1
sympy__sympy-23413,2022-04-23T23:40:41Z,15 min - 1 hour,1,0,0,1,0,0,0,0,0,0
sympy__sympy-23824,2022-07-23T22:13:36Z,15 min - 1 hour,1,1,1,1,0,1,1,1,1,1
sympy__sympy-23950,2022-08-20T18:21:10Z,15 min - 1 hour,1,0,1,0,1,1,1,0,0,1
sympy__sympy-24066,2022-09-16T22:58:15Z,15 min - 1 hour,1,1,1,1,0,1,1,0,0,1
sympy__sympy-24213,2022-11-03T14:00:09Z,15 min - 1 hour,1,1,1,1,1,1,1,1,1,1
sympy__sympy-24443,2022-12-30T14:43:19Z,15 min - 1 hour,1,1,1,1,1,1,1,0,0,1
sympy__sympy-24661,2023-02-05T19:15:22Z,15 min - 1 hour,1,1,1,1,1,1,1,0,1,1
